Years;Cluster Id;Cluster generic legend;Cluster specific legend;Terms id;Pseudo-Inclusion;Cluster Size;Density;Number of fathers;Number of sons 
277 290;4211;518;973;518 973 1301 1699;1;1;1;1;0 
277 290;4214;522;2122;67 492 522 1033 2122;1;1;1;1;0 
277 290;4303;639;87;87 639 1009 1233;1;1;1;1;0 
277 290;4305;639;87;87 554 639 1009;1;1;1;1;0 
277 290;4360;406;111;111 406 448 696;1;1;1;1;0 
277 290;4361;406;111;111 406 696 1301;1;1;1;1;2 
277 290;4395;731;2253;155 731 1858 2253;1;1;1;1;0 
277 290;4478;1850;2207;299 709 809 1850 2207;1;1;1;0;1 
277 290;4495;825;1746;761 825 1746 2134;1;1;1;1;0 
277 290;4525;1302;1457;205 855 1302 1457;1;1;1;1;0 
277 290;4528;1302;732;732 855 1302 1653 2134;1;1;1;2;0 
277 290;4591;923;252;252 923 1039 1235 1720;1;1;1;0;4 
277 290;4670;1019;2062;11 47 61 105 188 264 270 280 378 557 612 750 780 799 1019 1047 1238 1394 1577 1578 1686 1736 1810 1859 2062;1;1;1;1;0 
277 290;4683;1454;252;252 1034 1039 1235 1454 1720;1;1;1;0;6 
277 290;4704;484;1720;252 484 1034 1051 1720;1;1;1;2;1 
277 290;4754;947;1736;124 276 442 447 467 556 599 602 677 826 947 1007 1105 1131 1180 1643 1695 1736 1859 2079 2101 2151 2252 2282;1;1;1;1;0 
277 290;4760;1114;2253;155 1114 1858 2253;1;1;1;1;0 
277 290;4784;1136;1154;675 1136 1154 2066;1;1;1;1;0 
277 290;4792;1156;1699;111 1156 1699 2162;1;1;1;1;0 
277 290;4856;1236;970;563 585 970 1236 1661 1669 2083 2107;1;1;1;2;0 
277 290;4860;1019;1810;11 47 105 188 280 378 557 730 799 1019 1047 1238 1319 1394 1577 1810 1859 2062;1;1;1;1;0 
277 290;4898;1278;144;144 669 671 1278;1;1;1;1;1 
277 290;4934;406;111;111 406 1301 1558;1;1;1;1;0 
277 290;4935;406;476;406 476 518 1301;1;1;1;1;0 
277 290;4937;406;973;406 715 973 1301 1699;1;1;1;1;1 
277 290;4938;406;800;111 406 448 518 800 1301;1;1;1;1;0 
277 290;5010;1675;1165;1165 1205 1386 1675 1804 1982;1;1;1;1;1 
277 290;5012;20;1386;20 457 1386 1583;1;1;1;1;2 
277 290;5014;20;1189;20 171 999 1189 1386;1;1;1;0;1 
